"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"INMBtype3",2.11977227231857,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1,1,1.28631051752922,1.42737896494157,1.28631051752922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.85893155258765,2.56844741235392,2.28631051752922,1.28631051752922,1,1,1,1.28631051752922,1.42737896494157,1.85893155258765,2.14106844741235,2,1.28631051752922,1,1,1,1,1,1.28631051752922,2,2.99999999999999,3.14106844741235,2.85893155258765,2.71368948247078,2.42737896494157,1.57262103505843,0.713689482470788,0.286310517529219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype4",2.05988613615928,1.85684474123539,1.5,1.14315525876461,1,1,1.14315525876461,1.21368948247078,1.14315525876461,1,1,1,1.14315525876461,1.21368948247078,1.14315525876461,1,1.14315525876461,1.21368948247078,1.14315525876461,1,1.14315525876461,1.5,1.57053422370618,1.28631051752922,1.14315525876461,1.78631051752921,2.28422370617696,2.14315525876461,2.07262103505843,2.57053422370618,3,3.71577629382304,3.92529215358932,3.07262103505843,1.5,0.643155258764613,0.143155258764608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype5",2.58982920423893,2.03526711185309,1.46473288814691,1.0715776293823,1,1.21473288814691,1.75,2.28526711185309,2.85788814691152,3.46368948247078,3.71368948247078,2.96368948247078,2.50208681135225,2.60580133555926,2.8215776293823,2.5715776293823,2.21368948247078,2.00104340567613,1.96368948247078,2.21473288814691,2.21368948247078,2,1.85788814691152,1.89211185308848,1.75,1.46473288814691,1.5,1.96473288814691,2.17737896494157,1.6784223706177,0.857888146911519,0.5,0.5,0.571577629382304,0.535267111853089,0.321577629382307,0.0715776293823038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype6",3.19011386384072,2.39315525876461,1.75,1.39315525876461,1.1784223706177,1.0715776293823,1,1,1.0715776293823,1.39315525876461,1.71368948247078,1.8215776293823,1.75,1.8215776293823,1.78526711185309,1.5715776293823,1.3215776293823,1.46473288814691,2,2.89315525876461,3.06949081803005,2.42946577629382,1.71473288814691,2.32262103505843,2.92633555926544,2.71473288814692,1.89315525876461,1.85788814691152,1.92737896494157,1.5,0.714732888146912,0.25,0.0715776293823038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype7",4.03897522543355,3.21160267111853,2.00208681135225,1,1.14315525876461,1.21368948247078,1.14315525876461,1,1,1,1.14315525876461,1.5,1.85684474123539,2.42946577629382,3.21368948247078,4.71577629382304,5.28213689482471,5.14524207011686,3.99791318864775,2.78631051752922,1.71577629382304,1.42737896494157,1.42946577629382,1.35684474123539,1.35684474123539,1.14315525876461,0.856844741235392,0.786310517529215,1.1431552587646,1.42737896494157,1.14315525876461,0.643155258764608,0.356844741235392,0.143155258764608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype8",4,4,3.14106844741235,2.43155258764608,2.14106844741235,2,1.28631051752922,1,1,1,1,1.28631051752922,1.42737896494157,1.57262103505843,1.42737896494157,1.28631051752922,1.28631051752922,2.28631051752922,2.56844741235392,1.85893155258765,1,1,1,1,1.85893155258765,3.99999999999999,6.42737896494157,7.71368948247079,6.56844741235393,4.14524207011686,2.85893155258765,2.85475792988314,2.28631051752922,1.28631051752922,1,0.713689482470788,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype9",2.11977227231857,1.71368948247078,1.28631051752922,1,1,1.28631051752922,1.71368948247078,2.28631051752922,3.28631051752922,4.14106844741235,4,2.71368948247078,1.57262103505843,1,1,1.57262103505843,1.85475792988314,1.57262103505843,1,1.28631051752922,1.71368948247078,2.28631051752922,3.28631051752922,3.56844741235392,2.85893155258765,2.28631051752921,3,3.71368948247078,3.42737896494157,2,0.572621035058431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBtype10",2.61977227231857,2.21368948247078,1.64315525876461,1.14315525876461,1,1,1,1,1,1,1,1,1,1,1,1,1.14315525876461,1.21368948247078,1.14315525876461,1.14315525876461,1.21368948247078,1.14315525876461,1.14315525876461,1.35684474123539,1.35684474123539,1.28631051752922,1.5,1.57053422370618,1.28631051752922,1,1.14315525876461,1.64315525876461,2.35684474123539,2.42737896494157,2.21577629382304,2.35684474123539,2.42737896494157,2.50208681135225,2.49791318864775,2.71577629382304,2.14106844741235,1.57262103505843,1,1.14315525876461,1.21368948247078,1.14315525876461,0.856844741235392,0.5,0.143155258764608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INhorn",2,2,2,2,1.71368948247078,1.28631051752922,1,1,1,1.28631051752922,2,2.14106844741235,1.57262103505843,1.57262103505843,2.14106844741235,2.57262103505843,3.28631051752922,4.14106844741235,5.14524207011686,7.57262103505843,9.42320534223706,9.43155258764608,6.99582637729549,4.14524207011686,1.57262103505843,1.57262103505843,1.85475792988314,1.57262103505843,1.28631051752921,1.71368948247078,1.71368948247078,1.28631051752922,1,1,1.85893155258765,2.85475792988313,3.28631051752922,2.71368948247078,2.57262103505843,2.14106844741235,1.85893155258765,1.42737896494157,1.28631051752922,1,1,1,1,1,1,1,1,1,1.28631051752921,1.71368948247078,1.71368948247078,1.57262103505843,1.71368948247078,2,2,2.57262103505842,4.57262103505843,5.42320534223706,3.57262103505843,0.858931552587646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INtorii",1.88022772768143,2.28631051752922,2.42737896494157,2,1.28631051752922,1.57262103505843,1.85475792988314,1.57262103505843,1,1,1.57262103505843,2.14106844741235,3.14524207011686,3.28213689482471,2.57262103505843,1.28631051752922,1,1.28631051752922,1.42737896494157,1.28631051752922,1,1,1.28631051752922,1.71368948247078,2.85893155258765,3.85475792988314,3.71368948247078,2.57262103505843,2.28631051752921,2.71368948247078,3,3,3.57262103505843,3.28213689482471,2.14524207011686,1.28631051752921,1.71368948247078,2.28631051752922,2.14106844741235,1.57262103505843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.28631051752922,1.99999999999999,2.71368948247078,2.42737896494158,1.57262103505844,1.85893155258765,4,4.99582637729549,3.57262103505843,1.57262103505843,0.713689482470785,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBdescFMRF",3.11977227231857,2.71368948247078,2,1.28631051752922,1,1,1,1,1,1,1,1,1,1,1,1,1.28631051752922,1.71368948247078,1.71368948247078,1.28631051752922,1.57262103505843,2.14106844741235,2,1.28631051752922,1,1,1,1,1.28631051752921,1.71368948247078,2.28631051752922,3.28631051752922,3.85475792988314,4.14524207011686,4.71368948247079,4.28213689482472,2.43155258764608,1.28631051752922,1.42737896494157,1.28631051752922,1,1,1,2.14524207011686,2.70951585976628,2.43155258764608,1.42737896494157,1.57262103505843,1.71368948247078,1.71368948247078,1.28631051752922,1.85893155258765,2.56844741235392,2.28631051752922,1.28631051752922,1.28631051752922,1.71368948247078,1.71368948247079,1.28631051752922,1,1.28631051752922,1.71368948247078,1.71368948247078,1.28631051752922,1.28631051752922,1.71368948247078,1.71368948247078,1.57262103505843,2,1.85475792988314,0.858931552587646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBPDF",3,2.5,2,1.64315525876461,1.5,1.5,1.35684474123539,1.14315525876461,1,1,1,1,1,1,1,1,1,1.14315525876461,1.5,1.85684474123539,1.85684474123539,1.64315525876461,1.35684474123539,1.14315525876461,1,1,1,1.57262103505843,1.85475792988314,1.85893155258765,1.71368948247078,1.85684474123539,1.64315525876461,1.35684474123539,1.42946577629382,1.71368948247078,2,2,1.85684474123539,1.5,1.42946577629382,1.85684474123539,2.5,2.42737896494157,1.78631051752922,1.14315525876461,1,1,1,1.14315525876461,1.21368948247078,1.14315525876461,1.28631051752921,1.57053422370618,1.78631051752922,1.71368948247078,2.21577629382303,2.78422370617696,2.57053422370619,1.42946577629383,0.643155258764608,0.5,0.5,1.07262103505843,1.64106844741235,2.07262103505843,3.64524207011686,4.78005008347245,3.57262103505843,1.07262103505843,0.143155258764608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INrope",2.3593168169557,3.14106844741235,3,2.28631051752922,2,2.57262103505843,3.42737896494157,3.42737896494157,2.28631051752922,1.28631051752922,1,1,1,1,1,1.28631051752922,1.42737896494157,1.57262103505843,1.42737896494157,1.28631051752922,1,1,1.28631051752922,1.42737896494157,1.28631051752922,1,1,1.28631051752922,1.71368948247078,2.57262103505843,3.14106844741235,4.43155258764608,4.70951585976628,3.85893155258765,2.28631051752922,2,1.71368948247078,1.28631051752922,1.57262103505843,2.42737896494157,2.42737896494157,1.57262103505843,1,1,1,1,1,1,1,1,1.28631051752921,1.71368948247078,1.71368948247079,1.57262103505843,1.71368948247078,2.28631051752922,2.42737896494157,2.00000000000001,1.28631051752922,1,1,1,1,1,1,1,1,1,1,1,1.28631051752922,1.71368948247078,2,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1,1.28631051752922,1.42737896494157,1.28631051752922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00000000000001
"INMBdesc2",2.61977227231857,2.21368948247078,1.78631051752922,1.5,1.35684474123539,1.14315525876461,1,1,1,1,1,1.14315525876461,1.35684474123539,1.5,1.5,1.5,1.78631051752922,2.35684474123539,2.71368948247078,2.35684474123539,2.07262103505843,2.21368948247078,2.5,2.5,3.21577629382304,3.85475792988314,4.21577629382304,3.64106844741235,2.64315525876461,1.42946577629382,1,1,1.14315525876461,1.35684474123539,1.64315525876461,1.57053422370618,1.28631051752922,1,1,1.14315525876461,1.21368948247078,1.28631051752922,1.35684474123539,1.35684474123539,1.14315525876461,1,1,1,1,1,1.28631051752921,1.57053422370618,1.92946577629382,1.92737896494157,1.5,0.786310517529215,0.5,0.5,0.643155258764606,0.856844741235391,1,0.856844741235392,0.786310517529215,0.713689482470785,0.643155258764608,0.5,0.5,0.643155258764608,0.856844741235392,1.42946577629382,1.78422370617696,1.35684474123539,0.429465776293823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INMBdesc3",2.23954454463713,2.42737896494157,2,1.28631051752922,1,1,1,1,1,1,1,1,1,1,1,1,1.28631051752922,1.42737896494157,1.28631051752922,1,1.28631051752922,1.42737896494157,1.28631051752922,1,1.85893155258765,2.85475792988314,3.28631051752922,2.71368948247078,2.85893155258764,3.42737896494157,4.85893155258765,5.56844741235392,5.57262103505843,5.57262103505843,6.14106844741235,6.57262103505843,6.71368948247079,6.42737896494157,4.14106844741235,1.43155258764608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INbigloop",2.44011386384072,2.14315525876461,1.85684474123539,1.5,1.14315525876461,1,1,1.57262103505843,2.71368948247078,3.42737896494157,3.28631051752922,3,3.14315525876461,3.35684474123539,3.5,3.64315525876461,4.14315525876461,4.57053422370618,4.64315525876461,4.78631051752922,5.5,6.78631051752922,7.49791318864775,7.14315525876461,4.71160267111853,2.07470784641069,0.5,0.643155258764608,0.713689482470785,0.643155258764608,0.643155258764608,0.713689482470785,0.643155258764608,0.643155258764608,1.28631051752922,2.07053422370617,2.07053422370618,1.28631051752922,0.643155258764608,0.5,0.643155258764608,0.856844741235392,1.14315525876461,1.21368948247078,1,0.643155258764608,0.5,0.643155258764608,0.856844741235392,1,0.713689482470788,0.286310517529215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INUturnMB",2,2,1.71368948247078,1.28631051752922,1,1,1,1,1,1,1,1,1,1,1,1,2.14524207011686,5,8.42737896494157,10.7136894824708,9.99582637729549,8.00417362270451,6.71368948247079,6.42737896494157,5,3.57262103505843,2.71368948247078,2,1.85893155258764,1.85475792988314,1.57262103505843,1,1,1,1,1.28631051752921,1.42737896494157,1.28631051752922,1,1,1,1,1,1,1,1,1.57262103505843,1.85475792988314,1.57262103505843,1,1,0.713689482470785,0.286310517529219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBprojMouth",2.51996204538643,2.61894824707846,2.57122982749026,2.33333333333333,1.80912632164719,1.28631051752922,1,1.14315525876461,1.21368948247078,1.33402893711742,1.38035614913745,1.57192543127435,1.59474123539232,1.5477184195882,1.47648859209794,1.57122982749026,1.57122982749026,1.38105175292154,1.26210350584307,1.19017807456873,1.14315525876461,1.07122982749026,1.14315525876461,1.23789649415693,1.28561491374513,1.40525876460768,1.64245965498052,1.73789649415693,1.4522815804118,1.0477184195882,0.857540345019477,0.952281580411798,1.07122982749026,0.952281580411797,0.762103505843072,0.809821925431273,1.26210350584307,1.52281580411797,1.40525876460768,1.16666666666667,1.30982192543127,1.38035614913745,1.16666666666667,0.809821925431274,0.857540345019477,0.999304396215915,0.881051752921536,0.5,0.214385086254869,0.0477184195882026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
