"region"	"celltype"	"number"	"ANNOT"	"sum_cells"
"224"	"pyg"	"MUSchae-notDob"	0	"muscle"	18
"225"	"head"	"MUSac-neuAV"	0	"muscle"	16
"226"	"head"	"MUSchae-neuVob"	0	"muscle"	16
"227"	"head"	"MUSchae-neuAVo"	0	"muscle"	16
"228"	"peristomium"	"MUSac-neuAV"	0	"muscle"	16
"229"	"peristomium"	"MUSchae-neuVob"	0	"muscle"	16
"230"	"peristomium"	"MUSchae-neuAVo"	0	"muscle"	16
"231"	"sg0"	"MUSac-neuAV"	0	"muscle"	16
"232"	"sg0"	"MUSchae-neuVob"	0	"muscle"	16
"233"	"sg0"	"MUSchae-neuAVo"	0	"muscle"	16
"234"	"sg1"	"MUSac-neuAV"	4	"muscle"	16
"235"	"sg1"	"MUSchae-neuVob"	4	"muscle"	16
"236"	"sg1"	"MUSchae-neuAVo"	4	"muscle"	16
"237"	"sg2"	"MUSac-neuAV"	6	"muscle"	16
"238"	"sg2"	"MUSchae-neuVob"	6	"muscle"	16
"239"	"sg2"	"MUSchae-neuAVo"	6	"muscle"	16
"240"	"sg3"	"MUSac-neuAV"	6	"muscle"	16
"241"	"sg3"	"MUSchae-neuVob"	6	"muscle"	16
"242"	"sg3"	"MUSchae-neuAVo"	6	"muscle"	16
"243"	"pyg"	"MUSac-neuAV"	0	"muscle"	16
"244"	"pyg"	"MUSchae-neuVob"	0	"muscle"	16
"245"	"pyg"	"MUSchae-neuAVo"	0	"muscle"	16
"246"	"head"	"MUSac-neuPV"	0	"muscle"	14
"247"	"peristomium"	"MUSac-neuPV"	0	"muscle"	14
"248"	"sg0"	"MUSac-neuPV"	0	"muscle"	14
"249"	"sg1"	"MUSac-neuPV"	4	"muscle"	14
"250"	"sg2"	"MUSac-neuPV"	6	"muscle"	14
"251"	"sg3"	"MUSac-neuPV"	4	"muscle"	14
"252"	"pyg"	"MUSac-neuPV"	0	"muscle"	14
"253"	"head"	"MUSac-notA"	0	"muscle"	12
"254"	"head"	"MUSac-notP"	0	"muscle"	12
"255"	"head"	"MUSac-notM"	0	"muscle"	12
"256"	"head"	"MUSobA-mpp"	0	"muscle"	12
"257"	"head"	"MUSax"	0	"muscle"	12
"258"	"peristomium"	"MUSac-notA"	0	"muscle"	12
"259"	"peristomium"	"MUSac-notP"	0	"muscle"	12
"260"	"peristomium"	"MUSac-notM"	0	"muscle"	12
"261"	"peristomium"	"MUSobA-mpp"	0	"muscle"	12
"262"	"peristomium"	"MUSax"	0	"muscle"	12
"263"	"sg0"	"MUSac-notA"	0	"muscle"	12
"264"	"sg0"	"MUSac-notP"	0	"muscle"	12
"265"	"sg0"	"MUSac-notM"	0	"muscle"	12
"266"	"sg0"	"MUSobA-mpp"	0	"muscle"	12
"267"	"sg0"	"MUSax"	0	"muscle"	12
"268"	"sg1"	"MUSac-notA"	4	"muscle"	12
"269"	"sg1"	"MUSac-notP"	4	"muscle"	12
"270"	"sg1"	"MUSac-notM"	4	"muscle"	12
"271"	"sg1"	"MUSobA-mpp"	2	"muscle"	12
"272"	"sg1"	"MUSax"	8	"muscle"	12
"273"	"sg2"	"MUSac-notA"	4	"muscle"	12
"274"	"sg2"	"MUSac-notP"	4	"muscle"	12
"275"	"sg2"	"MUSac-notM"	4	"muscle"	12
"276"	"sg2"	"MUSobA-mpp"	4	"muscle"	12
"277"	"sg2"	"MUSax"	2	"muscle"	12
"278"	"sg3"	"MUSac-notA"	4	"muscle"	12
"279"	"sg3"	"MUSac-notP"	4	"muscle"	12
"280"	"sg3"	"MUSac-notM"	4	"muscle"	12
"281"	"sg3"	"MUSobA-mpp"	6	"muscle"	12
"282"	"sg3"	"MUSax"	2	"muscle"	12
"283"	"pyg"	"MUSac-notA"	0	"muscle"	12
"284"	"pyg"	"MUSac-notP"	0	"muscle"	12
"285"	"pyg"	"MUSac-notM"	0	"muscle"	12
"286"	"pyg"	"MUSobA-mpp"	0	"muscle"	12
"287"	"pyg"	"MUSax"	0	"muscle"	12
"288"	"head"	"MUSobA-lpp"	0	"muscle"	10
"289"	"head"	"MUSobA-trans"	0	"muscle"	10
"290"	"head"	"MUSll"	0	"muscle"	10
"291"	"peristomium"	"MUSobA-lpp"	0	"muscle"	10
"292"	"peristomium"	"MUSobA-trans"	0	"muscle"	10
"293"	"peristomium"	"MUSll"	0	"muscle"	10
"294"	"sg0"	"MUSobA-lpp"	0	"muscle"	10
"295"	"sg0"	"MUSobA-trans"	0	"muscle"	10
"296"	"sg0"	"MUSll"	10	"muscle"	10
"297"	"sg1"	"MUSobA-lpp"	2	"muscle"	10
"298"	"sg1"	"MUSobA-trans"	3	"muscle"	10
"299"	"sg1"	"MUSll"	0	"muscle"	10
"300"	"sg2"	"MUSobA-lpp"	4	"muscle"	10
"301"	"sg2"	"MUSobA-trans"	4	"muscle"	10
"302"	"sg2"	"MUSll"	0	"muscle"	10
"303"	"sg3"	"MUSobA-lpp"	4	"muscle"	10
"304"	"sg3"	"MUSobA-trans"	3	"muscle"	10
"305"	"sg3"	"MUSll"	0	"muscle"	10
"306"	"pyg"	"MUSobA-lpp"	0	"muscle"	10
"307"	"pyg"	"MUSobA-trans"	0	"muscle"	10
"308"	"pyg"	"MUSll"	0	"muscle"	10
"309"	"head"	"MUSobP-neuDlong"	0	"muscle"	9
"310"	"peristomium"	"MUSobP-neuDlong"	0	"muscle"	9
"311"	"sg0"	"MUSobP-neuDlong"	0	"muscle"	9
"312"	"sg1"	"MUSobP-neuDlong"	2	"muscle"	9
"313"	"sg2"	"MUSobP-neuDlong"	4	"muscle"	9
"314"	"sg3"	"MUSobP-neuDlong"	3	"muscle"	9
"315"	"pyg"	"MUSobP-neuDlong"	0	"muscle"	9
"316"	"head"	"MUSac-neuDx"	0	"muscle"	8
"317"	"head"	"MUSac-neure"	0	"muscle"	8
"318"	"head"	"MUSant"	8	"muscle"	8
"319"	"peristomium"	"MUSac-neuDx"	0	"muscle"	8
"320"	"peristomium"	"MUSac-neure"	0	"muscle"	8
"321"	"peristomium"	"MUSant"	0	"muscle"	8
"322"	"sg0"	"MUSac-neuDx"	0	"muscle"	8
"323"	"sg0"	"MUSac-neure"	0	"muscle"	8
"324"	"sg0"	"MUSant"	0	"muscle"	8
"325"	"sg1"	"MUSac-neuDx"	0	"muscle"	8
"326"	"sg1"	"MUSac-neure"	2	"muscle"	8
"327"	"sg1"	"MUSant"	0	"muscle"	8
"328"	"sg2"	"MUSac-neuDx"	4	"muscle"	8
"329"	"sg2"	"MUSac-neure"	4	"muscle"	8
"330"	"sg2"	"MUSant"	0	"muscle"	8
"331"	"sg3"	"MUSac-neuDx"	4	"muscle"	8
"332"	"sg3"	"MUSac-neure"	2	"muscle"	8
"333"	"sg3"	"MUSant"	0	"muscle"	8
"334"	"pyg"	"MUSac-neuDx"	0	"muscle"	8
"335"	"pyg"	"MUSac-neure"	0	"muscle"	8
"336"	"pyg"	"MUSant"	0	"muscle"	8
"337"	"head"	"MUSac-i"	0	"muscle"	6
"338"	"head"	"MUSobP-noty"	0	"muscle"	6
"339"	"head"	"MUSobP-i"	0	"muscle"	6
"340"	"head"	"MUSchae-notD"	0	"muscle"	6
"341"	"head"	"MUSchae-notDn"	0	"muscle"	6
"342"	"head"	"MUSchae-notA"	0	"muscle"	6
"343"	"head"	"MUSchae-neuAVt"	0	"muscle"	6
"344"	"head"	"MUSchae-Are"	0	"muscle"	6
"345"	"head"	"MUSly"	6	"muscle"	6
"346"	"head"	"MUSch"	6	"muscle"	6
"347"	"peristomium"	"MUSac-i"	0	"muscle"	6
"348"	"peristomium"	"MUSobP-noty"	0	"muscle"	6
"349"	"peristomium"	"MUSobP-i"	0	"muscle"	6
"350"	"peristomium"	"MUSchae-notD"	0	"muscle"	6
"351"	"peristomium"	"MUSchae-notDn"	0	"muscle"	6
"352"	"peristomium"	"MUSchae-notA"	0	"muscle"	6
"353"	"peristomium"	"MUSchae-neuAVt"	0	"muscle"	6
"354"	"peristomium"	"MUSchae-Are"	0	"muscle"	6
"355"	"peristomium"	"MUSly"	0	"muscle"	6
"356"	"peristomium"	"MUSch"	0	"muscle"	6
"357"	"sg0"	"MUSac-i"	0	"muscle"	6
"358"	"sg0"	"MUSobP-noty"	0	"muscle"	6
"359"	"sg0"	"MUSobP-i"	0	"muscle"	6
"360"	"sg0"	"MUSchae-notD"	0	"muscle"	6
"361"	"sg0"	"MUSchae-notDn"	0	"muscle"	6
"362"	"sg0"	"MUSchae-notA"	0	"muscle"	6
"363"	"sg0"	"MUSchae-neuAVt"	0	"muscle"	6
"364"	"sg0"	"MUSchae-Are"	0	"muscle"	6
"365"	"sg0"	"MUSly"	0	"muscle"	6
"366"	"sg0"	"MUSch"	0	"muscle"	6
"367"	"sg1"	"MUSac-i"	2	"muscle"	6
"368"	"sg1"	"MUSobP-noty"	2	"muscle"	6
"369"	"sg1"	"MUSobP-i"	2	"muscle"	6
"370"	"sg1"	"MUSchae-notD"	2	"muscle"	6
"371"	"sg1"	"MUSchae-notDn"	2	"muscle"	6
"372"	"sg1"	"MUSchae-notA"	2	"muscle"	6
"373"	"sg1"	"MUSchae-neuAVt"	2	"muscle"	6
"374"	"sg1"	"MUSchae-Are"	2	"muscle"	6
"375"	"sg1"	"MUSly"	0	"muscle"	6
"376"	"sg1"	"MUSch"	0	"muscle"	6
"377"	"sg2"	"MUSac-i"	2	"muscle"	6
"378"	"sg2"	"MUSobP-noty"	2	"muscle"	6
"379"	"sg2"	"MUSobP-i"	2	"muscle"	6
"380"	"sg2"	"MUSchae-notD"	2	"muscle"	6
"381"	"sg2"	"MUSchae-notDn"	2	"muscle"	6
"382"	"sg2"	"MUSchae-notA"	2	"muscle"	6
"383"	"sg2"	"MUSchae-neuAVt"	2	"muscle"	6
"384"	"sg2"	"MUSchae-Are"	2	"muscle"	6
"385"	"sg2"	"MUSly"	0	"muscle"	6
"386"	"sg2"	"MUSch"	0	"muscle"	6
"387"	"sg3"	"MUSac-i"	2	"muscle"	6
"388"	"sg3"	"MUSobP-noty"	2	"muscle"	6
"389"	"sg3"	"MUSobP-i"	2	"muscle"	6
"390"	"sg3"	"MUSchae-notD"	2	"muscle"	6
"391"	"sg3"	"MUSchae-notDn"	2	"muscle"	6
"392"	"sg3"	"MUSchae-notA"	2	"muscle"	6
"393"	"sg3"	"MUSchae-neuAVt"	2	"muscle"	6
"394"	"sg3"	"MUSchae-Are"	2	"muscle"	6
"395"	"sg3"	"MUSly"	0	"muscle"	6
"396"	"sg3"	"MUSch"	0	"muscle"	6
"397"	"pyg"	"MUSac-i"	0	"muscle"	6
"398"	"pyg"	"MUSobP-noty"	0	"muscle"	6
"399"	"pyg"	"MUSobP-i"	0	"muscle"	6
"400"	"pyg"	"MUSchae-notD"	0	"muscle"	6
"401"	"pyg"	"MUSchae-notDn"	0	"muscle"	6
"402"	"pyg"	"MUSchae-notA"	0	"muscle"	6
"403"	"pyg"	"MUSchae-neuAVt"	0	"muscle"	6
"404"	"pyg"	"MUSchae-Are"	0	"muscle"	6
"405"	"pyg"	"MUSly"	0	"muscle"	6
"406"	"pyg"	"MUSch"	0	"muscle"	6
"407"	"head"	"MUSac-neuDy"	0	"muscle"	4
"408"	"head"	"MUSobA-mlpp"	0	"muscle"	4
"409"	"head"	"MUSobP-M"	0	"muscle"	4
"410"	"head"	"MUSchae-notAre"	0	"muscle"	4
"411"	"head"	"MUSpl"	4	"muscle"	4
"412"	"head"	"MUSci"	3	"muscle"	4
"413"	"peristomium"	"MUSac-neuDy"	0	"muscle"	4
"414"	"peristomium"	"MUSobA-mlpp"	0	"muscle"	4
"415"	"peristomium"	"MUSobP-M"	0	"muscle"	4
"416"	"peristomium"	"MUSchae-notAre"	0	"muscle"	4
"417"	"peristomium"	"MUSpl"	0	"muscle"	4
"418"	"peristomium"	"MUSci"	0	"muscle"	4
"419"	"sg0"	"MUSac-neuDy"	0	"muscle"	4
"420"	"sg0"	"MUSobA-mlpp"	0	"muscle"	4
"421"	"sg0"	"MUSobP-M"	0	"muscle"	4
"422"	"sg0"	"MUSchae-notAre"	0	"muscle"	4
"423"	"sg0"	"MUSpl"	0	"muscle"	4
