"region"	"celltype"	"number"	"SN_MN_IN"	"sum_cells"
"234"	"head"	"SNtrpa"	2	"Sensory neuron"	2
"235"	"peristomium"	"SNnuchBx"	0	"Sensory neuron"	2
"236"	"peristomium"	"SNgolden"	0	"Sensory neuron"	2
"237"	"peristomium"	"SNhorn"	0	"Sensory neuron"	2
"238"	"peristomium"	"SNhook"	0	"Sensory neuron"	2
"239"	"peristomium"	"SNlasso"	0	"Sensory neuron"	2
"240"	"peristomium"	"SNMIP-vc"	0	"Sensory neuron"	2
"241"	"peristomium"	"SNmus"	0	"Sensory neuron"	2
"242"	"peristomium"	"SNantlerPDF"	0	"Sensory neuron"	2
"243"	"peristomium"	"SNPDF-dc"	0	"Sensory neuron"	2
"244"	"peristomium"	"SN0DLSO1.2-4"	0	"Sensory neuron"	2
"245"	"peristomium"	"SN-DLSO1.2-1"	0	"Sensory neuron"	2
"246"	"peristomium"	"eyespot-PRCR3"	0	"Sensory neuron"	2
"247"	"peristomium"	"eyespot-PRCR1"	0	"Sensory neuron"	2
"248"	"peristomium"	"MS4"	0	"Sensory neuron"	2
"249"	"peristomium"	"MS3"	0	"Sensory neuron"	2
"250"	"peristomium"	"MS5"	0	"Sensory neuron"	2
"251"	"peristomium"	"SN-ASTC"	0	"Sensory neuron"	2
"252"	"peristomium"	"SN-DLSO3-PDF"	0	"Sensory neuron"	2
"253"	"peristomium"	"SN-MIP4"	0	"Sensory neuron"	2
"254"	"peristomium"	"SN-MIP1"	0	"Sensory neuron"	2
"255"	"peristomium"	"SN-WLD"	0	"Sensory neuron"	2
"256"	"peristomium"	"SNbicil"	0	"Sensory neuron"	2
"257"	"peristomium"	"hPUc1"	0	"Sensory neuron"	2
"258"	"peristomium"	"pygCirrusPUSM"	0	"Sensory neuron"	2
"259"	"peristomium"	"SN-DLSO1.0"	0	"Sensory neuron"	2
"260"	"peristomium"	"SN-NS1"	0	"Sensory neuron"	2
"261"	"peristomium"	"SN-NS3"	0	"Sensory neuron"	2
"262"	"peristomium"	"SN-NS15"	0	"Sensory neuron"	2
"263"	"peristomium"	"SNPDF-pyg"	0	"Sensory neuron"	2
"264"	"peristomium"	"SN-NS22"	0	"Sensory neuron"	2
"265"	"peristomium"	"SN-NS5"	0	"Sensory neuron"	2
"266"	"peristomium"	"SN-NS17"	0	"Sensory neuron"	2
"267"	"peristomium"	"SN-NS19"	0	"Sensory neuron"	2
"268"	"peristomium"	"SN-NS20"	0	"Sensory neuron"	2
"269"	"peristomium"	"SN-NS29"	0	"Sensory neuron"	2
"270"	"peristomium"	"SN-NS27"	0	"Sensory neuron"	2
"271"	"peristomium"	"SN-NS18"	0	"Sensory neuron"	2
