"pre_skid"	"names"	"presyn_class"	"postsyn_class"	"num_occurrences"	"presyn_color"	"num_class_target"
"146"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"147"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"148"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"149"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"150"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"151"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"152"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"153"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"154"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"155"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"156"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"157"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"158"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"159"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"160"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"161"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"162"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"163"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"164"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"165"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"166"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"167"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"168"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"169"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"170"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"171"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"172"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"173"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"174"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"175"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"176"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"177"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"178"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"179"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"180"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"181"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"182"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"183"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"184"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"185"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"186"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"187"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"188"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"189"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"190"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"191"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"192"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"193"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"194"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"195"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"196"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"197"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"198"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"199"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"200"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"201"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"202"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"203"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"204"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
"205"	228289	"cioMNcover_r"	"MN"	"effector"	227	"#0072B2"	226
