"presynaptic"	"postsynaptic"	"synapses"
"470"	"IN1 right"	"eyespot-PRCR3"	0
"471"	"IN1 left"	"eyespot-PRCR1"	0
"472"	"IN1 right"	"eyespot-PRCR1"	0
"473"	"IN1 left"	"MS1"	0
"474"	"IN1 right"	"MS1"	0
"475"	"IN1 left"	"MS4"	0
"476"	"IN1 right"	"MS4"	0
"477"	"IN1 left"	"MS3"	0
"478"	"IN1 right"	"MS3"	0
"479"	"IN1 left"	"MS5"	0
"480"	"IN1 right"	"MS5"	0
"481"	"IN1 left"	"SN-ASTC"	0
"482"	"IN1 right"	"SN-ASTC"	0
"483"	"IN1 left"	"SN-DLSO3-PDF"	0
"484"	"IN1 right"	"SN-DLSO3-PDF"	0
"485"	"IN1 left"	"SN-DLSO3"	0
"486"	"IN1 right"	"SN-DLSO3"	0
"487"	"IN1 left"	"MC2biax-1"	0
"488"	"IN1 right"	"MC2biax-1"	0
"489"	"IN1 left"	"SN-IRP2-burs"	0
"490"	"IN1 right"	"SN-IRP2-burs"	0
"491"	"IN1 left"	"SN-IRP2-FMRF"	0
"492"	"IN1 right"	"SN-IRP2-FMRF"	0
"493"	"IN1 left"	"SN-MIP4"	0
"494"	"IN1 right"	"SN-MIP4"	0
"495"	"IN1 left"	"SN-MIP1"	0
"496"	"IN1 right"	"SN-MIP1"	0
"497"	"IN1 left"	"MNspinning"	0
"498"	"IN1 right"	"MNspinning"	0
"499"	"IN1 left"	"SN-WLD"	0
"500"	"IN1 right"	"SN-WLD"	0
"501"	"IN1 left"	"SN-DSO"	0
"502"	"IN1 right"	"SN-DSO"	0
"503"	"IN1 left"	"SNbicil"	0
"504"	"IN1 right"	"SNbicil"	0
"505"	"IN1 left"	"SNasym"	0
"506"	"IN1 right"	"SNasym"	0
"507"	"IN1 left"	"SN47Ach"	0
"508"	"IN1 right"	"SN47Ach"	0
"509"	"IN1 left"	"INCrossbow"	0
"510"	"IN1 right"	"INCrossbow"	0
"511"	"IN1 left"	"pygPBunp"	0
"512"	"IN1 right"	"pygPBunp"	0
"513"	"IN1 left"	"INarc1"	0
"514"	"IN1 right"	"INarc1"	0
"515"	"IN1 left"	"INarc2"	0
"516"	"IN1 right"	"INarc2"	0
"517"	"IN1 left"	"INsn"	1
"518"	"IN1 right"	"INsn"	1
"519"	"IN1 left"	"INrope"	0
"520"	"IN1 right"	"INrope"	0
"521"	"IN1 left"	"Loop"	0
"522"	"IN1 right"	"Loop"	0
"523"	"IN1 left"	"INCM"	0
"524"	"IN1 right"	"INCM"	0
"525"	"IN1 left"	"MNspider-ant"	0
"526"	"IN1 right"	"MNspider-ant"	0
"527"	"IN1 left"	"MNspider-post"	0
"528"	"IN1 right"	"MNspider-post"	0
"529"	"IN1 left"	"MNbiramous"	0
"530"	"IN1 right"	"MNbiramous"	0
"531"	"IN1 left"	"MNring"	0
"532"	"IN1 right"	"MNring"	0
"533"	"IN1 left"	"MNcrab"	0
"534"	"IN1 right"	"MNcrab"	0
"535"	"IN1 left"	"MNhose"	0
"536"	"IN1 right"	"MNhose"	0
"537"	"IN1 left"	"MNbow"	0
"538"	"IN1 right"	"MNbow"	0
"539"	"IN1 left"	"MNwave"	0
"540"	"IN1 right"	"MNwave"	0
"541"	"IN1 left"	"MNacicX"	0
"542"	"IN1 right"	"MNacicX"	0
"543"	"IN1 left"	"INchaeMech"	0
"544"	"IN1 right"	"INchaeMech"	0
"545"	"IN1 left"	"chaeMech"	0
"546"	"IN1 right"	"chaeMech"	0
"547"	"IN1 left"	"INFVa-pyg"	0
"548"	"IN1 right"	"INFVa-pyg"	0
"549"	"IN1 left"	"INsplitCR"	0
"550"	"IN1 right"	"INsplitCR"	0
"551"	"IN1 left"	"INsplitCRATO"	0
"552"	"IN1 right"	"INsplitCRATO"	0
"553"	"IN1 left"	"INMC3"	0
"554"	"IN1 right"	"INMC3"	0
"555"	"IN1 left"	"INbiax"	0
"556"	"IN1 right"	"INbiax"	0
"557"	"IN1 left"	"INsplitPB-RF/Ya"	0
"558"	"IN1 right"	"INsplitPB-RF/Ya"	0
"559"	"IN1 left"	"INsplitPBant"	0
"560"	"IN1 right"	"INsplitPBant"	0
"561"	"IN1 left"	"INsplitPB"	0
"562"	"IN1 right"	"INsplitPB"	0
"563"	"IN1 left"	"PB"	0
"564"	"IN1 right"	"PB"	0
"565"	"IN1 left"	"interparaPM1"	0
"566"	"IN1 right"	"interparaPM1"	0
"567"	"IN1 left"	"cioMNcover"	0
"568"	"IN1 right"	"cioMNcover"	0
"569"	"IN1 left"	"INsplitPUh"	0
"570"	"IN1 right"	"INsplitPUh"	0
"571"	"IN1 left"	"MN3"	0
"572"	"IN1 right"	"MN3"	0
"573"	"IN1 left"	"MN1"	0
"574"	"IN1 right"	"MN1"	0
"575"	"IN1 left"	"MN2"	0
"576"	"IN1 right"	"MN2"	0
"577"	"IN1 left"	"MC3cover"	0
"578"	"IN1 right"	"MC3cover"	0
"579"	"IN1 left"	"antPUc"	0
"580"	"IN1 right"	"antPUc"	0
"581"	"IN1 left"	"spinPU"	0
"582"	"IN1 right"	"spinPU"	0
"583"	"IN1 left"	"VentraltrunkPUunp"	0
"584"	"IN1 right"	"VentraltrunkPUunp"	0
"585"	"IN1 left"	"trochPU"	0
"586"	"IN1 right"	"trochPU"	0
"587"	"IN1 left"	"hPUc1"	0
"588"	"IN1 right"	"hPUc1"	0
