"left"	"right"	"correlation"
"172"	"PRC left"	"INface right"	-0.0130435444163005
"173"	"PRC left"	"INMBdesc3 right"	-0.010696178996378
"174"	"PRC left"	"INMBdesc2 right"	0.08449908735715
"175"	"PRC left"	"INpara right"	0.0452061469070448
"176"	"PRC left"	"INMBtype9 right"	0.251442919503465
"177"	"PRC left"	"INMBtype2 right"	0.910738417106244
"178"	"PRC left"	"INdecussM right"	0.394557576805748
"179"	"PRC left"	"INiaStiff right"	-0.0145433464939815
"180"	"PRC left"	"INmantis right"	0.0632407300276552
"181"	"PRC left"	"INsplitSpin right"	-0.0096395873537039
"182"	"IN1 left"	"PRC right"	0.813709638294192
"183"	"IN1 left"	"IN1 right"	0.997237021740244
"184"	"IN1 left"	"INton right"	0.172682859608413
"185"	"IN1 left"	"INpreSer right"	0.0572831366812813
"186"	"IN1 left"	"cPRC right"	0.0677467086484834
"187"	"IN1 left"	"INRGWa right"	0.089912755358413
"188"	"IN1 left"	"INNOS right"	0.0373457659835977
"189"	"IN1 left"	"Ser-h1 right"	0.00469567590456347
"190"	"IN1 left"	"SNnuchPDF right"	-0.00488906236074008
"191"	"IN1 left"	"SNnuchBx right"	-0.00714645429068313
"192"	"IN1 left"	"SNgolden right"	0.109009576716296
"193"	"IN1 left"	"SNhorn right"	0.113650573535523
"194"	"IN1 left"	"SNhook right"	-0.0100275618563218
"195"	"IN1 left"	"MNant right"	-0.00231866901289072
"196"	"IN1 left"	"SNlasso right"	-0.012708503916899
"197"	"IN1 left"	"INlasso right"	-0.0128628138224868
"198"	"IN1 left"	"INdecussPre right"	0.0055633304767961
"199"	"IN1 left"	"INpreMN right"	-0.0136030432614911
"200"	"IN1 left"	"SNMIP-vc right"	-0.00953017047477635
"201"	"IN1 left"	"SNmus right"	-0.0125180880446366
"202"	"IN1 left"	"SNantlerPDF right"	-0.0137981734347196
"203"	"IN1 left"	"SNPDF-dc right"	-0.0108019322277381
"204"	"IN1 left"	"SN0DLSO1.2-4 right"	-0.0157192263030097
"205"	"IN1 left"	"SN-DLSO1.2-3 right"	0.0241010646255741
"206"	"IN1 left"	"SN-DLSO1.2-1 right"	-0.0161605278161055
"207"	"IN1 left"	"SN-DLSO2 right"	-0.0119700150151809
"208"	"IN1 left"	"SNMB2 right"	0.0475988178591856
"209"	"IN1 left"	"eyespot-PRCR3 right"	0.0967098707035772
"210"	"IN1 left"	"eyespot-PRCR1 right"	-0.0168848174396338
"211"	"IN1 left"	"MS3 right"	-0.00524598875241511
"212"	"IN1 left"	"MS5 right"	0.106221060185909
"213"	"IN1 left"	"SN-ASTC right"	-0.00888449458274089
"214"	"IN1 left"	"SN-DLSO3-PDF right"	-0.00867769961280184
"215"	"IN1 left"	"SN-DLSO3 right"	-0.00125263076086492
"216"	"IN1 left"	"SN-MIP4 right"	-0.00714645429068313
"217"	"IN1 left"	"SN-MIP1 right"	-0.0128145889247893
"218"	"IN1 left"	"MNspinning right"	0.0985254722027312
"219"	"IN1 left"	"SN-WLD right"	-0.0148911773626751
"220"	"IN1 left"	"SN-DSO right"	-0.0172060627064354
"221"	"IN1 left"	"SNbicil right"	-0.00930728989258731
"222"	"IN1 left"	"INCrossbow right"	0.00820165770821594
