	pns1	pns10	pns11	pns12	pns13	pns14	pns2	pns3	pns4	pns5	pns6	pns7	pns9	ATEN1	ATEN2	ATEN3	ATEN4	pna	pnb	pnc	pnf	pnh	pnu	pnx	coronet1	coronet11	coronet12	coronet14	coronet16	coronet2	coronet3	coronet4	coronet6	coronet7	coronet8	coronet9	pr1	pr10	pr11	pr12	pr13	pr14	pr15	pr16	pr17	pr18	pr19	pr2	pr20	pr21	pr22	pr23	pr3	pr4	pr5	pr6	pr7	pr8	pr9	pra	prb	prc	prd	pre	prf	prg	lens7	101	110	113	114	107	Ant1	Ant2	4	6	20	25	29	30	61	160	162	163	164	177	181	vacIN1	trIN	1	2	15	23	38	55	59	60	62	65	68	70	73	78	79	ukn	ukn2	3	13	17	18	21	22	24	33	41	42	43	46	48	50	85	88	16	57	138	90	92	aaIN1	aaIN2	aaIN3	5	35	131	Em1	Em2	74	94	108	116	123	124	127	130	140	157	80	86	96	100	126	121	105	112	119	120	134	135	142	143	147	152	153	159	161	93	106	122	125	103	NeckNL	NeckNR	AMG1	AMG2	AMG3	AMG4	AMG5	AMG6	AMG7	ddNL	ddNR	MGIN1L	MGIN1R	MGIN2L	MGIN2R	MGIN3L	MGIN3R	MN1L	MN1R	MN2L	MN2R	MN3L	MN3R	MN4L	MN4R	MN5L	MN5R	ACIN1L	ACIN2L	ACIN2R	PMGN1	PMGN2	midtail1	midtail2	midtail4	midtail7	BTN1	BTN2	BTN3	BTN4	mul	mulm	mur	murm	bm	bm-noto
pre																																									0.225																		0.18				0.36																																																																												0.72			0.36	0.18		0.54								0.06																																																														
prf																																							0.12								0.18	0.06												0.06																																																																															0.72	0.42	0.12			0.66	0.06							0.3																																																														0.06	
prg																																																															0.12										0.24																																																																																																																																														
lens6																																																																							0.06																																																																								0.06																																																																								
101																																																																			0.18	0.18	0.18	0.18	0.18	0.18	0.18																																																																															0.3		0.06					0.36																																																								
110																																																																							0.06																																																									0.18		0.24																																																																																				0.3	
114																																																																					0.12																				0.06																																																																																																																														
107																																																																						0.12																												0.06		0.06																										0.06				0.06										0.24																																																																											
Ant1																																																														0.06						0.24					0.18	0.3														0.06	0.48															0.06							0.12																	0.48	0.9	1.26																					0.24				5.52	1.38		9.06	0.96	16.623	4.5			16.26																																																			
Ant2																																											0.12					0.06						0.36			0.12																0.66																0.78					0.12			0.18			0.66	0.3	0.66		0.78									0.12	0.24									0.48		0.18	0.18		0.48	1.08	2.52						0.12	0.12						0.06						0.06	0.66	0.48				3.54	0.96	0.9	3	0.6		0.12	0.42	0.72		0.12			0.06	0.06																																														
4	0.36		0.3		0.48			0.24				0.12	0.18		0.6		0.9																																																										0.42	0.18	0.42		0.18	2.04	0.54	0.66	0.18	1.32		0.96				0.12												0.18						0.18								0.24						0.06											1.62	0.42	0.3		0.24							0.06	1.5																																																														0.18		0.48					0.06	
6	0.66				0.36	0.18	0.48	0.36	0.12	0.06	0.72		0.42	0.18																																																													0.12		0.36		0.48	0.24		0.3	0.36																																																0.12			0.66																																																																								0.18									
20																	0.12																																																										0.12				0.06																																																						0.72	0.36							0.3			0.12																																																														0.48	0.06							0.84	
25																																																																													0.06																																																							0.12																																																																																		0.24	
29			0.18	0.12		0.12								0.12			0.24																																																										0.12	0.06			0.12		0.12	0.24																	0.3																							0.06											0.9	0.72												0.06																							0.6																																						0.36								
30				0.3	0.24				0.18		0.12		0.36		0.12		1.32																																0.06																										0.48	0.42	0.24		0.6			0.72	0.12																0.06																							0.06											0.24	0.48	0.54		0.12				0.27	0.3		0.36	0.36																															0.18																															0.84		0.72						
61																																																																											0.12	0.06			0.36																				0.36																						0.06	0.48													0.06		0.18									0.06				0.18	0.18						0.12						0.12		0.12	0.3		0.36	0.12																																					0.12			0.18						
160																																																																											0.48		0.18		0.06				0.84			0.18																																															0.3	0.18	0.18						0.54			0.6	0.06																																																														0.06								
162								0.06																																									0.06																										0.6							0.6		0.36			0.42																																														0.18	0.18																												0.12											0.12			0.42	0.96																														0.18								
163			0.36																																																														0.06										0.72					0.06					0.36	0.48																																			0.12														0.66										0.48																																																																						
164												0.12																																																																													0.36				0.42																																	0.54									0.42					0.3													0.18							0.12	0.18																																														0.18		0.18					0.18	
177																																																																											0.06							0.48																																																																																																																																					
vacIN1																																									0.3																																0.06																																																																																																																																													0.66	
trIN																																									0.18		0.12				0.06							0.06					0.12												0.06		0.12																	0.12												0.06		0.54					0.54	0.24				0.06															1.02	0.3													0.12				0.12		0.24			0.18	0.48					2.46	0.36	3.66	0.06			4.26																																																		0.54	
1																																																																																											0.06				0.12	0.12				0.06	0.12												0.36																																																																																																						
2																																																																										0.06															0.3	0.78							0.06			0.12					0.36					0.3			0.3	0.06					0.12				0.18			0.06		0.18	0.24																		0.12																																																																				
15																																																																																													0.06																0.42	0.06																		0.54																			0.9																																																																				
23																																																																										0.06															0.48	0.54						0.24						0.12						0.12															0.06						0.06																				0.06																																																																	0.06	
38																												0.18						0.3																																																											0.24					0.12								0.06			0.12	0.36						0.12			0.12									0.9	0.12	0.06																		0.3												0.06																																																							
55																																																																																									0.06													0.06							0.42			0.24											0.06						0.12	0.18																	0.3	0.18					0.06	0.06			0.06																																																										
59																																																																																											0.12											0.12								0.12													0.06					0.47		0.06																	0.12	0.18								0.06													0.18																																														
60																																																						0.12			0.12																																											0.3		0.24							0.12														0.36		0.24			0.36	0.24																		0.06				0.12		0.12																																																														
62																																																																																									0.12				0.06							0.12										0.12																		0.66	0.3	0.12										0.12							0.36	0.06		0.12				0.18																																																													
65									0.12																																																																		0.06				0.06					0.12					0.24	0.06											0.24						0.06			0.72											1.38	0.36							0.6	0.18					0.42										0.12		0.24			0.18	0.12			0.12																																																													
68									0.12																																																																		0.06				0.06					0.12																																					1.38	0.36													0.42										0.12																																																																						
70																																						0.12					0.24									0.12	0.3	0.36					0.24						0.18									0.18																		0.24								0.3									0.36										0.06				0.3				0.18																	0.42			1.92	0.18		0.78	1.08	0.48	0.42	0.54							0.12				0.12			0.12																																															
73																																																								0.06																		0.06															0.84																							0.12											0.24						0.06	0.12																	0.18											0.12																																																									
78																																							0.12																																																		0.12									0.12											0.06	0.24																0.18			0.3																		0.54	1.38	0.36	0.24	0.18		0.06									0.06																																																					
79																																																																																									0.72		0.18																			0.96																			0.06	0.24																	0.06							0.18																																																													
ukn																																																																																										0.06	0.54		0.24	0.42																	0.18		0.84						0.42									0.18																				1.08	0.42			0.12																																																															
ukn2																																																																																										0.24	0.3	0.18	0.24							0.06				0.18	0.06			0.72	0.24	0.6	0.12		0.96	0.36		0.6				0.48																											0.42		1.32		0.06	0.06	0.6	0.48																																																													
3																																																																																											0.24																		0.3				0.42			0.06																															0.42	0.12	0.12																																																																		
13																																																																																													0.12	0.18		0.3							0.24			0.18					0.06					0.36																	0.24														0.12	0.3			0.24															0.06																																																	
17																																																					0.36																																				0.3		0.12	0.12			0.12								0.24				0.06			0.36																		0.06	0.3																		0.3	0.06	0.18	0.12																		0.06																																															
18																																																																																													0.12	0.36		0.06		0.3						0.24	0.12			0.42	0.6		0.72		0.18															0.54	0.18																		0.12		0.18								0.06							0.3																																																			
19																																																																						0.06		0.18																																																																																																																																															
21																																																																																														0.12			0.24								0.24	0.3		0.54	0.12	0.42						0.24			0.06																					0.06								0.12																																																																			
22																																																					0.06																																					0.06											0.24	0.06				0.12							0.12			0.06							0.24																									0.3		0.06																																																																	
24																																																																																										0.06																0.24													0.24				0.12			0.3		0.48																				0.06																					0.12																																														
33																																																																																										0.06												0.06										0.12								0.06			0.42																								0.12							0.12							0.06																																																						
40																																																																									0.06																																																																																																																																														
41																																																																																																																					0.18						0.66																										0.06																0.24																																																	0.48	
42																																																																																																					0.06					0.06	0.06																										0.3				0.06				0.12			0.18							0.24																																																																
43																																																																																																																0.12			0.06								0.18																																																																																											0.3	
44																																																																																																																																																																																																																						0.12	
46																	0.12																																																																0.12																																																			0.06														0.06																																																																					
48																																																																																										0.24	0.18	0.06								0.12				0.06	0.18				0.12	0.24																		0.24																			0.42	0.12																																																																			
50																																																	0.06					0.06																																			0.18							0.06						0.42	0.24			0.36																	0.24						0.24	0.12										0.36			0.12				0.24	0.54																																																																			
85																																																																																	0.06			0.18															0.48																																																														0.06																																																						
88																																																																															0.06																				0.06																									0.06										0.12							0.18	0.06				0.06																																																																					
16																																																						0.06																																							0.18	0.18	0.12	0.3	0.24					0.18	0.3			0.24									0.06	0.06				0.06									0.24																				0.6				2.04	1.2												0.06		0.12																																															
138																																							0.06																																			0.06																																							0.06															0.24	0.48											0.42												0.3																																																															
90																														0.12													0.06																															0.12																								0.06		0.12		0.24				0.18										0.18											0.12		0.24											0.72			0.6				0.06	0.12		0.72		0.42										0.12																																																					
92																																						0.06						0.18													0.18		0.3			0.54																																																												0.06																0.36	0.66	0.66		0.18			0.36	0.12	0.06			0.24	0.12																																																																
aaIN1																																																																									0.06	0.24															0.18			0.42	0.24	0.36		0.12	0.24	0.06					0.12		0.24				1.68	0.3			0.72										0.12					0.3	0.06	1.26										0.42									0.06			0.24			0.765	0.78		0.12	0.3	0.36				0.36																																																			
aaIN2																																						0.12			0.54							0.12		0.12			0.06			0.12																		0.66	0.06														0.6				0.48	0.06						0.24		0.48	0.36	1.26									0.24															0.12	0.12	0.72										0.18			0.12						0.18	0.06					1.08			0.72	0.54		0.18		0.24	0.36																																																			
aaIN3																																													0.06					0.18			0.24																0.06			0.18		0.72															0.42		0.06		0.42			0.9		0.3				0.96	1.02	1.02					0.3				0.12						0.24	0.12					0.36			0.6	0.96	0.06										0.06							0.06		0.24				0.54		0.06			0.6		0.36				0.6																																																			
131																																																																															0.18	0.06	0.06	0.3	0.06		0.24		0.54																																															1.38		0.9	0.12					0.18		0.06	0.96																		0.18				0.24		0.12			0.36	1.86		0.84		0.24	0.72			0.48	0.24																								0.12			0.72						
