"names"	"postsyn_class"	"num_occurrences"	"presyn_color"	"num_class_target"
"151"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"152"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"153"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"154"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"155"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"156"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"157"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"158"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"159"	"INrope_l1"	"n.a."	197	"#CC79A7"	5
"160"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"161"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"162"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"163"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"164"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"165"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"166"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"167"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"168"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"169"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"170"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"171"	"INrope_l1"	"n.a."	197	"#CC79A7"	5
"172"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"173"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"174"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"175"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"176"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"177"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"178"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"179"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"180"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"181"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"182"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"183"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"184"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"185"	"INrope_l1"	"MN"	197	"#CC79A7"	119
"186"	"INrope_l1"	"SN"	197	"#CC79A7"	7
"187"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"188"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"189"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"190"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"191"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"192"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"193"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"194"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"195"	"INrope_l1"	"n.a."	197	"#CC79A7"	5
"196"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"197"	"INrope_l1"	"IN"	197	"#CC79A7"	66
"198"	"INrope_r1"	"IN"	123	"#CC79A7"	26
"199"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"200"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"201"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"202"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"203"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"204"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"205"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"206"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"207"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"208"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"209"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"210"	"INrope_r1"	"MN"	123	"#CC79A7"	84
"211"	"INrope_r1"	"MN"	123	"#CC79A7"	84
