"annotation1"	"annotation2"	"number"
"252"	"segment_3"	"episphere"	0
"253"	"segment_3"	"segment_0"	0
"254"	"segment_3"	"segment_1"	0
"255"	"segment_3"	"segment_2"	0
"256"	"segment_3"	"segment_3"	1581
"257"	"segment_3"	"torso"	1581
"258"	"segment_3"	"pygidium"	0
"259"	"segment_3"	"neurosecretory_plexus"	0
"260"	"segment_3"	"mushroom body"	0
"261"	"segment_3"	"Apical_organ"	0
"262"	"segment_3"	"Dorsal_sensory_organ"	0
"263"	"segment_3"	"Dorsolateral_sense_organs"	0
"264"	"segment_3"	"antenna"	0
"265"	"segment_3"	"eyespot"	0
"266"	"segment_3"	"mechanosensory_girdle"	69
"267"	"segment_3"	"nuchal organ"	0
"268"	"segment_3"	"Sensory neuron"	81
"269"	"segment_3"	"sensory_motor_neuron"	0
"270"	"segment_3"	"sensory_neurosecretory_neuron"	0
"271"	"segment_3"	"interneuron"	200
"272"	"segment_3"	"premotor"	34
"273"	"segment_3"	"motorneuron"	69
"274"	"segment_3"	"ciliomotors"	0
"275"	"segment_3"	"rhabdomeric photoreceptor"	0
"276"	"segment_3"	"ciliary photoreceptor"	0
"277"	"segment_3"	"sensory_cilia"	53
"278"	"segment_3"	"Uniciliated_penetrating_cell"	29
"279"	"segment_3"	"Biciliated_penetrating_cell"	16
"280"	"segment_3"	"Uniciliated_nonpenetrating_cell"	4
"281"	"segment_3"	"Biciliated_nonpenetrating_cell"	2
"282"	"segment_3"	"Multiciliated_penetrating_cell"	2
"283"	"segment_3"	"dense cored vesicles"	37
"284"	"segment_3"	"asymmetric neuron"	0
"285"	"segment_3"	"biaxonal"	0
"286"	"segment_3"	"decussating"	0
"287"	"segment_3"	"commissural"	115
"288"	"segment_3"	"ipsilateral"	191
"289"	"segment_3"	"contralateral"	115
"290"	"segment_3"	"pseudounipolar"	42
"291"	"segment_3"	"descending"	38
"292"	"segment_3"	"ascending"	89
"293"	"segment_3"	"global_reach"	0
"294"	"segment_3"	"head_trunk"	5
"295"	"segment_3"	"siGOLD"	9
"296"	"segment_3"	"glutamatergic"	2
"297"	"segment_3"	"serotonergic"	0
"298"	"segment_3"	"cholinergic"	0
"299"	"segment_3"	"adrenergic"	0
"300"	"segment_3"	"dopaminergic"	0
"301"	"torso"	"ectoderm"	4363
"302"	"torso"	"episphere"	0
"303"	"torso"	"segment_0"	413
"304"	"torso"	"segment_1"	1472
"305"	"torso"	"segment_2"	1748
"306"	"torso"	"segment_3"	1581
"307"	"torso"	"torso"	5663
"308"	"torso"	"pygidium"	396
"309"	"torso"	"neurosecretory_plexus"	0
"310"	"torso"	"mushroom body"	0
"311"	"torso"	"Apical_organ"	0
"312"	"torso"	"Dorsal_sensory_organ"	0
"313"	"torso"	"Dorsolateral_sense_organs"	0
"314"	"torso"	"antenna"	0
"315"	"torso"	"eyespot"	0
"316"	"torso"	"mechanosensory_girdle"	264
"317"	"torso"	"nuchal organ"	0
"318"	"torso"	"Sensory neuron"	347
"319"	"torso"	"sensory_motor_neuron"	6
"320"	"torso"	"sensory_neurosecretory_neuron"	0
"321"	"torso"	"interneuron"	716
"322"	"torso"	"premotor"	142
"323"	"torso"	"motorneuron"	227
"324"	"torso"	"ciliomotors"	5
"325"	"torso"	"rhabdomeric photoreceptor"	0
"326"	"torso"	"ciliary photoreceptor"	0
"327"	"torso"	"sensory_cilia"	216
"328"	"torso"	"Uniciliated_penetrating_cell"	142
"329"	"torso"	"Biciliated_penetrating_cell"	51
"330"	"torso"	"Uniciliated_nonpenetrating_cell"	13
"331"	"torso"	"Biciliated_nonpenetrating_cell"	4
"332"	"torso"	"Multiciliated_penetrating_cell"	6
"333"	"torso"	"dense cored vesicles"	168
"334"	"torso"	"asymmetric neuron"	0
"335"	"torso"	"biaxonal"	8
"336"	"torso"	"decussating"	0
"337"	"torso"	"commissural"	431
"338"	"torso"	"ipsilateral"	696
"339"	"torso"	"contralateral"	431
"340"	"torso"	"pseudounipolar"	165
"341"	"torso"	"descending"	162
"342"	"torso"	"ascending"	303
"343"	"torso"	"global_reach"	22
"344"	"torso"	"head_trunk"	76
"345"	"torso"	"siGOLD"	62
"346"	"torso"	"glutamatergic"	21
"347"	"torso"	"serotonergic"	2
"348"	"torso"	"cholinergic"	5
"349"	"torso"	"adrenergic"	0
"350"	"torso"	"dopaminergic"	0
"351"	"pygidium"	"ectoderm"	337
"352"	"pygidium"	"episphere"	0
"353"	"pygidium"	"segment_0"	0
"354"	"pygidium"	"segment_1"	0
"355"	"pygidium"	"segment_2"	0
"356"	"pygidium"	"segment_3"	0
"357"	"pygidium"	"torso"	396
"358"	"pygidium"	"pygidium"	396
"359"	"pygidium"	"neurosecretory_plexus"	0
"360"	"pygidium"	"mushroom body"	0
"361"	"pygidium"	"Apical_organ"	0
"362"	"pygidium"	"Dorsal_sensory_organ"	0
"363"	"pygidium"	"Dorsolateral_sense_organs"	0
"364"	"pygidium"	"antenna"	0
"365"	"pygidium"	"eyespot"	0
"366"	"pygidium"	"mechanosensory_girdle"	39
"367"	"pygidium"	"nuchal organ"	0
"368"	"pygidium"	"Sensory neuron"	77
"369"	"pygidium"	"sensory_motor_neuron"	3
"370"	"pygidium"	"sensory_neurosecretory_neuron"	0
"371"	"pygidium"	"interneuron"	21
"372"	"pygidium"	"premotor"	6
"373"	"pygidium"	"motorneuron"	5
"374"	"pygidium"	"ciliomotors"	1
"375"	"pygidium"	"rhabdomeric photoreceptor"	0
"376"	"pygidium"	"ciliary photoreceptor"	0
"377"	"pygidium"	"sensory_cilia"	38
"378"	"pygidium"	"Uniciliated_penetrating_cell"	24
"379"	"pygidium"	"Biciliated_penetrating_cell"	10
"380"	"pygidium"	"Uniciliated_nonpenetrating_cell"	3
"381"	"pygidium"	"Biciliated_nonpenetrating_cell"	1
"382"	"pygidium"	"Multiciliated_penetrating_cell"	0
"383"	"pygidium"	"dense cored vesicles"	18
"384"	"pygidium"	"asymmetric neuron"	0
"385"	"pygidium"	"biaxonal"	0
"386"	"pygidium"	"decussating"	0
"387"	"pygidium"	"commissural"	11
"388"	"pygidium"	"ipsilateral"	86
"389"	"pygidium"	"contralateral"	11
"390"	"pygidium"	"pseudounipolar"	0
"391"	"pygidium"	"descending"	0
"392"	"pygidium"	"ascending"	31
"393"	"pygidium"	"global_reach"	10
"394"	"pygidium"	"head_trunk"	10
"395"	"pygidium"	"siGOLD"	10
"396"	"pygidium"	"glutamatergic"	10
"397"	"pygidium"	"serotonergic"	0
"398"	"pygidium"	"cholinergic"	0
"399"	"pygidium"	"adrenergic"	0
"400"	"pygidium"	"dopaminergic"	0
"401"	"neurosecretory_plexus"	"ectoderm"	78
"402"	"neurosecretory_plexus"	"episphere"	78
"403"	"neurosecretory_plexus"	"segment_0"	0
"404"	"neurosecretory_plexus"	"segment_1"	0
"405"	"neurosecretory_plexus"	"segment_2"	0
"406"	"neurosecretory_plexus"	"segment_3"	0
"407"	"neurosecretory_plexus"	"torso"	0
"408"	"neurosecretory_plexus"	"pygidium"	0
"409"	"neurosecretory_plexus"	"neurosecretory_plexus"	78
"410"	"neurosecretory_plexus"	"mushroom body"	10
"411"	"neurosecretory_plexus"	"Apical_organ"	40
"412"	"neurosecretory_plexus"	"Dorsal_sensory_organ"	0
"413"	"neurosecretory_plexus"	"Dorsolateral_sense_organs"	25
"414"	"neurosecretory_plexus"	"antenna"	0
"415"	"neurosecretory_plexus"	"eyespot"	0
"416"	"neurosecretory_plexus"	"mechanosensory_girdle"	0
"417"	"neurosecretory_plexus"	"nuchal organ"	3
"418"	"neurosecretory_plexus"	"Sensory neuron"	70
"419"	"neurosecretory_plexus"	"sensory_motor_neuron"	0
"420"	"neurosecretory_plexus"	"sensory_neurosecretory_neuron"	70
"421"	"neurosecretory_plexus"	"interneuron"	8
"422"	"neurosecretory_plexus"	"premotor"	4
"423"	"neurosecretory_plexus"	"motorneuron"	0
"424"	"neurosecretory_plexus"	"ciliomotors"	0
"425"	"neurosecretory_plexus"	"rhabdomeric photoreceptor"	0
"426"	"neurosecretory_plexus"	"ciliary photoreceptor"	4
"427"	"neurosecretory_plexus"	"sensory_cilia"	70
"428"	"neurosecretory_plexus"	"Uniciliated_penetrating_cell"	0
"429"	"neurosecretory_plexus"	"Biciliated_penetrating_cell"	0
"430"	"neurosecretory_plexus"	"Uniciliated_nonpenetrating_cell"	49
"431"	"neurosecretory_plexus"	"Biciliated_nonpenetrating_cell"	1
"432"	"neurosecretory_plexus"	"Multiciliated_penetrating_cell"	0
"433"	"neurosecretory_plexus"	"dense cored vesicles"	78
"434"	"neurosecretory_plexus"	"asymmetric neuron"	3
"435"	"neurosecretory_plexus"	"biaxonal"	0
"436"	"neurosecretory_plexus"	"decussating"	0
"437"	"neurosecretory_plexus"	"commissural"	0
"438"	"neurosecretory_plexus"	"ipsilateral"	9
"439"	"neurosecretory_plexus"	"contralateral"	61
"440"	"neurosecretory_plexus"	"pseudounipolar"	0
"441"	"neurosecretory_plexus"	"descending"	0
"442"	"neurosecretory_plexus"	"ascending"	0
"443"	"neurosecretory_plexus"	"global_reach"	0
"444"	"neurosecretory_plexus"	"head_trunk"	0
"445"	"neurosecretory_plexus"	"siGOLD"	6
"446"	"neurosecretory_plexus"	"glutamatergic"	0
"447"	"neurosecretory_plexus"	"serotonergic"	0
"448"	"neurosecretory_plexus"	"cholinergic"	0
"449"	"neurosecretory_plexus"	"adrenergic"	0
