"skid"	"partner"	"syn.count"	"num_nodes"	"connection_type"	"skeleton"
"134"	518599	1298426	13	21841	"postsynapse"	"with_soma"
"135"	992087	1298426	13	21841	"postsynapse"	"with_soma"
"136"	1670429	1274799	13	22170	"postsynapse"	"with_soma"
"137"	1280027	161743	13	3951	"postsynapse"	"with_soma"
"138"	359142	590953	13	1234	"postsynapse"	"with_soma"
"139"	174256	60061	13	6105	"postsynapse"	"with_soma"
"140"	397532	60061	13	6105	"postsynapse"	"with_soma"
"141"	206767	1732111	13	8896	"postsynapse"	"with_soma"
"142"	397532	1732111	13	8896	"postsynapse"	"with_soma"
"143"	1732111	167671	13	1288	"postsynapse"	"with_soma"
"144"	188153	344239	13	6819	"postsynapse"	"with_soma"
"145"	568710	826675	13	6056	"postsynapse"	"with_soma"
"146"	1488194	1609864	13	3431	"postsynapse"	"with_soma"
"147"	1611683	1609864	13	3431	"postsynapse"	"with_soma"
"148"	206767	1336469	13	3809	"postsynapse"	"with_soma"
"149"	768031	1277759	13	12205	"postsynapse"	"with_soma"
"150"	1613646	796391	13	2205	"postsynapse"	"with_soma"
"151"	1613646	1282965	13	2219	"postsynapse"	"with_soma"
"152"	2294176	1333158	13	1004	"postsynapse"	"with_soma"
"153"	942028	359142	13	6745	"postsynapse"	"with_soma"
"154"	248696	252853	13	2525	"postsynapse"	"with_soma"
"155"	250842	252137	13	1969	"postsynapse"	"with_soma"
"156"	649899	633874	13	2733	"postsynapse"	"with_soma"
"157"	1298426	386671	13	4440	"postsynapse"	"with_soma"
"158"	587962	108826	13	6586	"postsynapse"	"with_soma"
"159"	600071	108826	13	6586	"postsynapse"	"with_soma"
"160"	939008	1241266	13	1945	"postsynapse"	"with_soma"
"161"	1598752	1339023	13	2998	"postsynapse"	"with_soma"
"162"	1504488	1737305	13	676	"postsynapse"	"with_soma"
"163"	32142	13459	12	1109	"postsynapse"	"with_soma"
"164"	328632	32142	12	3009	"postsynapse"	"with_soma"
"165"	1598752	1678918	12	4337	"postsynapse"	"with_soma"
"166"	1732111	1737105	12	1795	"postsynapse"	"with_soma"
"167"	1302189	113999	12	9176	"postsynapse"	"with_soma"
"168"	60061	1302189	12	9378	"postsynapse"	"with_soma"
"169"	577621	1280027	12	19315	"postsynapse"	"with_soma"
"170"	1292932	295849	12	4879	"postsynapse"	"with_soma"
"171"	992096	1274799	12	22170	"postsynapse"	"with_soma"
"172"	992455	1274799	12	22170	"postsynapse"	"with_soma"
"173"	575119	826675	12	6056	"postsynapse"	"with_soma"
"174"	1137595	1727474	12	5307	"postsynapse"	"with_soma"
"175"	746037	228289	12	10318	"postsynapse"	"with_soma"
"176"	212664	1336469	12	3809	"postsynapse"	"with_soma"
"177"	1278611	1277759	12	12205	"postsynapse"	"with_soma"
"178"	1282992	1277759	12	12205	"postsynapse"	"with_soma"
"179"	1569660	1417810	12	2719	"postsynapse"	"with_soma"
"180"	1355372	1613646	12	2390	"postsynapse"	"with_soma"
"181"	172769	422125	12	4299	"postsynapse"	"with_soma"
"182"	746037	1166300	12	10679	"postsynapse"	"with_soma"
"183"	206767	359142	12	6745	"postsynapse"	"with_soma"
"184"	940016	359142	12	6745	"postsynapse"	"with_soma"
"185"	941766	359142	12	6745	"postsynapse"	"with_soma"
"186"	1273131	1273022	12	1538	"postsynapse"	"with_soma"
"187"	1312678	1736887	12	2140	"postsynapse"	"with_soma"
"188"	1390541	386671	12	4440	"postsynapse"	"with_soma"
"189"	519721	140828	12	6954	"postsynapse"	"with_soma"
"190"	1057387	140828	12	6954	"postsynapse"	"with_soma"
"191"	1328001	108826	12	6586	"postsynapse"	"with_soma"
"192"	1570739	1679615	12	2401	"postsynapse"	"with_soma"
"193"	1732095	1652177	12	3051	"postsynapse"	"with_soma"
"194"	1598752	1404567	12	3520	"postsynapse"	"with_soma"
"195"	1633569	1399394	12	2332	"postsynapse"	"with_soma"
"196"	1504505	1366839	12	1393	"postsynapse"	"with_soma"
"197"	22159	22876	11	941	"postsynapse"	"with_soma"
"198"	34044	13459	11	1109	"postsynapse"	"with_soma"
"199"	32142	34044	11	2066	"postsynapse"	"with_soma"
