"skid"	"annotation"	"id"	"uid"
"308"	173733	"fragmentum"	2069834	11
"309"	173733	"yyx"	1883308	13
"310"	173797	"fragmentum"	2069834	11
"311"	173797	"yyx"	1883308	13
"312"	181663	"mechanosensor"	2470772	16
"313"	181663	"connectome_old_set2"	2342225	11
"314"	181663	"descending_head"	2326796	11
"315"	181663	"connectome_1042_cells_Jasek_et_al"	2311097	11
"316"	181663	"hPUdesc"	2297097	11
"317"	181663	"head_trunk_SN_desc"	2293598	13
"318"	181663	"connectome_Sensory_neuron"	2453200	11
"319"	181663	"connectome"	2450493	11
"320"	181663	"connectome_old"	2447951	11
"321"	181663	"SN_head_visualisation_small"	2179000	13
"322"	181663	"SN_head_visualisation"	2177253	13
"323"	181663	"head"	1467274	24
"324"	181663	"celltype"	1923642	11
"325"	181663	"headPU"	2291845	11
"326"	181663	"FullP"	1815092	15
"327"	181663	"celltype96"	2033720	11
"328"	181663	"PUneurons"	1730654	15
"329"	181663	"left_side"	2054472	11
"330"	181663	"mechanosensory_girdle"	2033113	11
"331"	181663	"sensory_cilia"	2399710	11
"332"	181663	"nr connectome_Sensory_neuron"	2357238	10
"333"	181663	"nr dendrite mature"	2346905	10
"334"	181663	"expression:PKD2-1:WMISH:10.7554/eLife.36262"	2398651	16
"335"	181663	"Sensory neuron"	38666	16
"336"	181663	"connectome_neuron_left"	2401592	11
"337"	181663	"ectoderm"	1801868	16
"338"	181663	"WMISH: PKD2-1"	2368625	16
"339"	181663	"Uniciliated_penetrating_cell"	21148	15
"340"	181663	"Bezares-Calderon_thesis"	1822487	15
"341"	181663	"with_soma"	2036716	11
"342"	181663	"Apical_sensory_organ2"	1325993	13
"343"	181663	"9 microvilli collar"	1376831	15
"344"	181663	"left"	1275210	13
"345"	181663	"nr connectome_neuron"	2346012	10
"346"	181663	"Bezares-Calderon_et_al_2018"	1768650	15
"347"	181663	"Merged: Neuron 521468"	2425971	16
"348"	181663	"connectome_with_soma"	2354753	11
"349"	181663	"connectome_neuron"	2446308	11
"350"	181663	"connectome_old_set"	2167517	11
"351"	181663	"nr temp"	2416450	10
"352"	181663	"fragmentum"	2069834	11
"353"	181663	"connectome_neuron_old"	2444516	11
"354"	181663	"head_trunk"	2032805	11
"355"	181663	"episphere"	2030265	11
"356"	181663	"yyx"	1883308	13
"357"	181663	"descending"	1593069	27
"358"	188982	"fragmentum"	2069834	11
"359"	188982	"yyx"	1883308	13
"360"	189122	"fragmentum"	2069834	11
"361"	189122	"yyx"	1883308	13
"362"	189550	"fragmentum"	2069834	11
"363"	189550	"yyx"	1883308	13
"364"	190388	"connectome_old"	2447951	11
"365"	190388	"fragmentum"	2069834	11
"366"	190388	"yyx"	1883308	13
"367"	190388	"piece_eyecircuit"	662029	10
"368"	208259	"fragmentum"	2069834	11
"369"	208259	"yyx"	1883308	13
"370"	217052	"fragmentum"	2069834	11
"371"	217052	"yyx"	1883308	13
"372"	218636	"fragmentum"	2069834	11
"373"	218636	"yyx"	1883308	13
"374"	218837	"fragmentum"	2069834	11
"375"	218837	"yyx"	1883308	13
"376"	219488	"fragmentum"	2069834	11
"377"	219488	"yyx"	1883308	13
"378"	223119	"connectome_old"	2447951	11
"379"	223119	"fragmentum"	2069834	11
"380"	223119	"yyx"	1883308	13
"381"	223119	"piece_eyecircuit"	662029	10
"382"	229370	"fragmentum"	2069834	11
"383"	229370	"yyx"	1883308	13
"384"	229605	"fragmentum"	2069834	11
"385"	229605	"yyx"	1883308	13
"386"	242490	"fragmentum"	2069834	11
"387"	242490	"yyx"	1883308	13
"388"	260604	"fragmentum"	2069834	11
"389"	260604	"yyx"	1883308	13
"390"	285487	"dense cored vesicles"	1224657	13
"391"	285487	"connectome_frag"	2454845	11
"392"	285487	"connectome"	2450493	11
"393"	285487	"connectome_old"	2447951	11
"394"	285487	"fragmentum"	2069834	11
"395"	285487	"fragment"	2029624	11
"396"	287846	"fragmentum"	2069834	11
"397"	287846	"yyx"	1883308	13
"398"	292344	"connectome_frag"	2454845	11
"399"	292344	"connectome"	2450493	11
"400"	292344	"connectome_old"	2447951	11
"401"	292344	"fragmentum"	2069834	11
"402"	292344	"fragment"	2029624	11
"403"	292344	"dense cored vesicles"	1224657	16
"404"	292344	"immunogold"	940607	7
"405"	292344	"PDF_positive_neurons"	629263	7
"406"	328550	"fragmentum"	2069834	11
"407"	328550	"yyx"	1883308	13
"408"	328550	"piece_eyecircuit"	662029	10
"409"	333054	"interneuron"	58516	13
"410"	333054	"right"	1272647	13
"411"	333054	"yyx"	1883308	13
"412"	333054	"head"	1467274	13
"413"	333054	"u-turn"	1712745	13
"414"	333054	"fragmentum"	2069834	11
"415"	333054	"connectome_interneuron"	2453674	11
"416"	333054	"connectome"	2450493	11
"417"	333054	"IN_head_visualisation"	2177892	13
"418"	333054	"connectome_neuron"	2446308	11
"419"	333054	"right_side"	2050453	11
"420"	333054	"with_soma"	2036716	11
"421"	333054	"episphere"	2030265	11
"422"	333054	"ectoderm"	1801868	16
